source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	scenario_type	situation	generated_question	generated_answer
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	2	AOD1.5.2	Define over-the-counter medication (e.g., something you can buy off the store shelf) and prescription medication.	HBO 1|HBO 2	confusion_after_use	The teen tried someone's vape at a party and is confused about what it does to your body.	I tried my friend's vape at the party and now I'm not sure if it's like smoking or if it's just a candy. What does it really do to your body?	Good catch, it can be confusing! Vape pens can contain different things, like nicotine or other chemicals, which can affect your body in different ways. It's kind of like how some candies might taste sweet but aren't good for you. It's always good to know what's in something before you use it. If you're curious about how it affects your body, you can always ask a grown-up you trust or a doctor. Remember, it's best to avoid things you're not sure about to keep yourself safe and healthy!
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	3	AOD1.5.3	Explain the benefits of medications when used correctly.	HBO 1|HBO 2	misinformation	The kid heard a friend say that taking Adderall without a prescription is like getting a super boost for studying and tests.	My friend keeps talking about how Adderall is like a magic pill that helps you study better, but I don't know if that’s true or if it’s okay to take it without a doctor saying it’s okay.	Good catch! It's important to remember that Adderall is a medication that helps people with certain medical conditions, like ADHD. Taking it without a doctor's prescription isn't safe and can be very harmful. It's like how you wouldn't take medicine meant for your tummy to help your head feel better—different problems need different solutions. Always talk to a grown-up or a doctor if you have questions about medicines.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	4	AOD1.5.4	Explain how to use medications correctly.	HBO 1|HBO 2	family_conflict	parents found cannabis products in an older sibling's room	My parents found edibles in my brother's room and everybody's been fighting about it all week. I don't know what to do or say to help.	Seeing everyone fight about it must be really tough. It's normal to feel like you want to help, but sometimes the best thing is to let the grown-ups handle it. You did a good job noticing and maybe your parents will talk to your brother about it. In the meantime, focus on doing your own things and staying calm. If you really want to help, you could offer to spend extra time with your brother or do something fun together to show you care about him.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	5	AOD1.5.5	Describe potential risks associated with inappropriate use of over-the-counter medications.	HBO 1|HBO 2	confusion_after_use	my friend took some of my mom's cough syrup and felt really silly afterwards	My friend took some of my mom's cough syrup and said she felt like a funny clown, but now she's worried she might have done something bad.	I can see why your friend would feel worried. Taking medicine meant for someone else can sometimes make people feel funny, but it's important to be careful. The cough syrup your mom takes is made to help with coughs and colds, but it's not meant for everyone. It's good that your friend feels worried, though, because that means she's thinking about the right things. It's always best to ask a grown-up before taking any medicine. Maybe you could talk to your mom about what happened and how to make sure it doesn't happen again?
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	6	AOD1.5.6	Describe potentials risks associated with inappropriate use of prescription medications.	HBO 1|HBO 2	confusion_after_use	my friend took some of my dad's Xanax without asking and now he's acting really weird	My friend took some of my dad's Xanax without asking and now he's super drowsy and can't stop talking. I'm worried he might have gotten into something dangerous.	I can see why you're worried. It's not good to take someone else's medication without asking, especially something like Xanax. It can make people feel very drowsy and change how they act. It's important to tell a grown-up you trust about this, like your parents or a teacher. They can help make sure your friend is okay and understand what to do next.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	7	AOD1.5.7	Describe the importance of not sharing medications.	HBO 1|HBO 2	conflict_with_friends	my friend tried to give me some cough syrup he found at home, saying it would help me sleep better	My friend offered me some cough syrup to help me sleep, but I don't want to take it because I heard it's not safe to share medicine.	That's a really smart thing to think about! It's important to never share medicine, even if a friend offers it. Medicine is made to help specific people, and sharing it can be dangerous. If you're having trouble sleeping, maybe talk to a grown-up who can help find a safe way to get some rest.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	8	AOD1.5.8	Explain the difference between medications and illicit drugs.	HBO 2|HBO 4	confusion_after_use	A friend offered the child a pill they found in their dad's medicine cabinet, and the child is unsure if it's safe to take.	My friend found some pills in my dad's cabinet and said they were medicine, but I'm not sure if they're the kind we should take. Can you help me figure it out?	I can see why you'd want to be sure about those pills. It's important to only take medicine that a grown-up gives you, especially if you're not sure what it is. Sometimes it can be hard to tell the difference between different kinds of pills. If you're ever unsure, it's always best to ask a trusted adult like your parents or a doctor. They can help you figure out if it's safe to take or if it might be something else.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	9	AOD1.5.9	Identify the risks associated with alcohol and marijuana use.	HBO 3|HBO 4	peer_pressure	most of the kids in my class have been talking about trying vapes, and I feel like I'm the only one who hasn't tried one yet.	All my friends are talking about vapes and how cool they are, but I don't want to try one. What if something bad happens to me?	I get why you might feel that way. It can be tough when everyone around you is talking about something you're not sure about. Remember, it's okay to be different and make choices that feel right for you. Have you thought about why you don't want to try vapes? Maybe it's because you're worried about what could happen. That's a good instinct! It's always better to stay safe and make choices that keep you healthy.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	10	AOD1.5.10	Identify short- and long-term effects of illicit drug use, misuse of prescription or over-the-counter medications, and inappropriate use of alcohol or marijuana.	HBO 1|HBO 2|HBO 3|HBO 4	confusion_after_use	The kid tried a friend's vape and is confused about the effects	I tried my friend's vape and now my head feels funny and I can't stop coughing. What's up with that?	I can see why that would feel strange. Sometimes vapes can have unexpected things in them that make you feel funny or cough a lot. It's good you noticed how you're feeling. Maybe we should try to figure out what might be in the vape and why it's making you cough so much.
data/raw/hecat/AOD.pdf	4	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	5	3-5	11	AOD1.5.11	Identify family and school rules about alcohol- and other drug-use.	HBO 3|HBO 4|HBO 8	family_conflict	parents found beer in the fridge and are upset with the teen's older brother	My parents are so mad because they found beer in the fridge and it's my big brother's fault. I don't know why he did it, but now everyone is arguing.	Seeing your parents argue like that must be really tough. It's not fair that your big brother is in trouble, especially when you didn't do anything wrong. Sometimes grown-ups get really upset when they find things they don't want others to have. They might be worried about rules and safety. Remember, it's important to follow the rules at home, and you're doing a great job by not drinking alcohol or getting into trouble. How about we think of something nice to do together to help everyone feel better?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	1	AOD1.8.1	Define and differentiate between over-the-counter medications, prescription medications, and illicit drugs.	HBO 1|HBO 2|HBO 4	confusion_after_use	Teen tried some pills they found in their older brother's room and is confused about what they were	I found these pills in my brother's room and I have no idea what they are. They didn't look like anything I've seen before.	I can see why that would be confusing and a bit scary. It's good that you're thinking about it and wondering what they are. Sometimes people might keep things in their rooms that aren't always obvious. Have you noticed anything else in there that might give you a clue about what these pills are? It's important to be careful and not take anything you're not sure about.
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	2	AOD1.8.2	Distinguish between proper use and abuse of over-the-counter medications.	HBO 1|HBO 2	confusion_after_use	The teen took some of their dad's pain pills to help with a headache but now feels really groggy and worried about what they did.	I took some of my dad's pain pills for my headache, but now I feel so groggy and I'm not sure if that's normal. Should I be worried?	I can see why you'd be worried. Taking your dad's pain pills without knowing exactly what they are can definitely make you feel groggy. It's always important to know what medications you're taking and to follow the instructions. Since you're feeling so groggy, it's a good idea to rest and see if the feeling passes. If it doesn't get better or if you feel really unwell, it's best to tell a trusted adult like your dad or another family member. They can help you figure out what's going on and make sure you're okay.
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	3	AOD1.8.3	Distinguish between proper use and abuse of prescription medications.	HBO 1|HBO 2	confusion_after_use	Teen tried a friend's vape and is confused about the ingredients	I tried my friend's vape and it felt weird, but I'm not sure if it had anything in it besides nicotine. I heard some people say it's not just nicotine, but I don't know what else it could be.	Honestly, I'd wonder about that too. It's good you're thinking about what's in it. Sometimes vapes can have other things mixed in besides nicotine, like THC or other chemicals. It's important to know what you're putting in your body. Have you heard anything specific about what your friend said it might have in it?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	4	AOD1.8.4	Describe how to read and interpret directions for over-the-counter and prescription medications.	HBO 1|HBO 2	confusion_after_use	the teen used a vape pen they found at home and is confused about the instructions on the packaging	I found this vape pen at home and tried it, but I can't figure out what all the numbers on the packaging mean. It's like a puzzle!	I can see why it might feel like a puzzle! Those numbers on the packaging are probably there for a reason. Sometimes, they can tell you about the strength or concentration of what's inside. It's good that you're curious about them. If you're still unsure, maybe we can look them up together or ask a grown-up to help explain. Using things we find at home can be tricky, so it's smart to double-check everything!
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	5	AOD1.8.5	Describe why it is important to use over-the-counter and prescription medications as directed.	HBO 1|HBO 2	confusion_after_use	my friend took someone else's prescription pills and got really dizzy and confused	My friend took some pills they found and got super dizzy and confused. I don't get why people do that.	I can see why you might not understand why someone would do that. Taking someone else's medication can be really dangerous because everyone's body is different, and the right dose for one person might make another person feel very sick. Your friend got dizzy and confused because the medication wasn't meant for them, which is why it's so important to only take your own medicine and never share it. If something like that ever happens again, make sure to tell a grown-up right away so they can help.
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	6	AOD1.8.6	Explain the dangers of sharing medications.	HBO 1|HBO 2	conflict_with_friends	my friend offered me a pill from his medicine cabinet, and I'm not sure if it's safe	My friend offered me a pill from his medicine cabinet and I don't know if I should take it. What if it's dangerous?	That's a really good question. It's important to be cautious with any medication you're not familiar with. Medications can be powerful, and taking someone else's can be risky. If you're unsure, it's best to say no and talk to an adult you trust about it. Your friend should only be taking their own prescribed medications. Does that make sense?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	7	AOD1.8.7	Describe how to safely store medications.	HBO 1	family_conflict	parents found alcohol in a sibling's room and are arguing about it	My parents are fighting because they found a bottle of vodka in my brother's room. I don't know where he hid it, but now they won't stop arguing about it.	I can see how frustrating and stressful that must be. It's good that your parents are talking about it, but sometimes arguments can get heated. Maybe you could suggest they take a break and come back to the conversation later when they're both calmer. In the meantime, how about you focus on your own things and make sure you're not keeping anything that might cause trouble?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	8	AOD1.8.8	Summarize the physical and mental effects of using alcohol, marijuana, and illicit drugs.	HBO 2|HBO 3|HBO 4	confusion_after_use	My friend tried some edibles at a party and got really weird, but I'm not sure if it was the edibles or just the music and dancing.	I don't know if my friend's acting weird was from the edibles or just because everyone was hyped up from the party. It’s confusing.	I can see why it would be confusing. Sometimes it’s hard to tell if someone is acting differently because of edibles or just the excitement of the party. Edibles can take longer to kick in and can make people feel really relaxed, giggly, or even a bit disoriented. The music and energy from the party can also make everything feel more intense. If you're worried, it’s a good idea to check in on your friend and make sure they’re okay. Sometimes just talking to them can help them feel better.
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	9	AOD1.8.9	Determine the immediate and long-term impacts of alcohol- and other drug-use on the brain, including impacts on decision-making.	HBO 3|HBO 4|HBO 5|HBO 6	friend_pressure	my friend offered me a vape at a party, and I'm worried about what it might do to my brain	My friend offered me a vape at the party, and I'm scared it might mess with my brain like they say it does.	I get why you'd be worried. It's totally normal to think about how things might affect your brain, especially when you're not sure what they are. Vapes can contain all sorts of stuff that aren't good for you, and some of it can affect your brain in ways you might not expect. It's smart to be cautious about trying new things, especially at a party. What are you thinking about doing with your friend?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	10	AOD1.8.10	Explain the potential effects of mixing any type of medication or drug with another (sometimes called poly-drug use).	HBO 2|HBO 3|HBO 4	confusion_after_use	my friend and I tried some edibles at a party and now we're not sure what to expect from the effects	We ate some edibles at the party and now I'm worried about how it will make me feel later. What if I mix it with something else by accident?	Honestly, I'd wonder about that too. It's normal to be worried about how things might mix. Mixing different substances can sometimes lead to unexpected effects. For now, try to stay hydrated and get plenty of rest. If you feel really unsure or uncomfortable later, it's a good idea to talk to a trusted adult or a healthcare provider. They can give you more specific advice based on how you're feeling.
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	11	AOD1.8.11	Determine reasons why people choose to abstain from or misuse alcohol, marijuana, prescription medications, and illicit drugs.	HBO 2|HBO 3|HBO 4	peer_pressure	most friends have started drinking at parties and the teen feels like they're missing out	All my friends are drinking at parties now and they keep inviting me, but I don't want to because I heard it can be bad for you.	I get it—feeling like you’re missing out can be tough. It’s great that you’re thinking about the reasons why you want to stay away from drinking. It’s normal to want to fit in, but it’s also important to make choices that feel right for you. Have you thought about talking to your friends about why you feel this way? You could say something like, 'I really appreciate your invites, but I’m not comfortable with drinking right now. Can we do something else instead?'
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	12	AOD1.8.12	Explain why using alcohol and other drugs is an unhealthy way to manage stress.	HBO 2|HBO 3|HBO 4	peer_pressure	Most of my friends have been talking about trying vapes, and I feel like I’m the only one who doesn’t want to.	I don’t get why everyone is into vapes. It seems like they just do it to feel cool, but I’m worried it might be bad for you.	I get why you feel that way. It can be tough when it seems like everyone else is doing something you’re not. Vapes can seem cool, but they can also have some not-so-good stuff in them that might harm your body. It’s totally okay to have your own thoughts and not join in, especially if you’re worried about your health. What do you like to do that makes you feel good and cool?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	13	AOD1.8.13	Determine the benefits of being drug-free.	HBO 2|HBO 3|HBO 4|HBO 8	confusion_after_use	The teen tried a friend's vape and is confused about the effects and risks	I tried my friend's vape last night and I'm still not sure if it's just my imagination, but I feel weird and I'm worried about what it might do to me.	I can see why you'd feel weird after trying something new. Sometimes vapes can make people feel different ways, and it's normal to be unsure about how they affect you. It's great that you're thinking about it though. Vapes can contain things that aren't good for your body, even if they don't look like traditional cigarettes. It's important to listen to how your body feels after trying anything new. If you're still feeling unsure or uncomfortable, it might be a good idea to talk to a trusted adult about it.
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	14	AOD1.8.14	Describe positive alternatives to using alcohol and other drugs.	HBO 2|HBO 3|HBO 4|HBO 8	social_pressure	The teen's friend group is planning to go to a party where alcohol will be present, and the teen is feeling conflicted about it.	My friends are all going to this party and they keep saying we should bring some beer. But I don't want to go if I'm going to be pressured to drink.	I get why you’d feel that way. It can be tough when your friends are doing something you’re not comfortable with. Remember, it’s okay to say no and to look for other fun activities at the party. Maybe suggest a game or a different kind of snack. You don’t have to drink to have a good time!
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	15	AOD1.8.15	Describe the relationship between using alcohol and other drugs and other health risks, such as unintentional injuries, violence, suicide, sexual risk behaviors, and tobacco use.	HBO 2|HBO 3|HBO 4|HBO 5|HBO 6	confusion_after_use	my friend tried a vape at a party and got really dizzy and had trouble breathing afterwards	My friend said he felt weird after hitting the vape, and now he keeps coughing and says he can't stop thinking about how close he came to passing out. It's kinda scary.	I can see why that would be really scary. Vaping can sometimes cause people to feel dizzy or have trouble breathing, especially if they've never tried it before. The coughing could be from the vapor or any impurities in the vape juice. It's good that your friend is worried about how close he came to feeling even worse. It's important to be cautious with things like that. If he's still feeling unwell, maybe he should talk to a grown-up or a doctor to make sure he's okay. And in the future, it's best to stick with things that are known to be
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	16	AOD1.8.16	Explain the relationship between intravenous drug use and transmission of bloodborne diseases such as HIV and hepatitis.	HBO 4	consequence	my cousin got in trouble for sharing a vape with friends at school	My cousin got in big trouble for sharing a vape with friends and now everyone's saying he might have given them something bad.	I can see why that would be really concerning for your cousin. Sharing vapes or any vaping devices can be risky because it involves sharing mouthpieces or other parts that can carry germs. Plus, there's always a chance that something in the vape juice could be harmful. It's good that everyone is worried—staying safe is important. Have you talked to your cousin about why it's better to avoid sharing vape devices and the risks involved?
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	17	AOD1.8.17	Explain the risks associated with using alcohol or other drugs and driving a motor vehicle.	HBO 5|HBO 6	conflict_with_parents	teen's friend offered to drive after they both had a couple of beers at a party	My friend offered to drive us home after the party, but I don't want to get in the car with them. My parents will be so mad if we get pulled over.	I get why you're worried. It’s really important to stay safe, especially when it comes to driving after drinking. Your parents will understand that you’re making a responsible choice to keep everyone safe. Maybe you could text them and let them know what’s happening, or ask a trusted adult for a ride home. Safety first!
data/raw/hecat/AOD.pdf	5	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	8	6-8	18	AOD1.8.18	Explain school policies and community laws about alcohol, marijuana, prescription medications, and illicit drugs. (HBO 2, 3, 4 & 8) ﻿Knowledge Expectations Grades 6-8 2021 HECAT: Module AOD AOD-6 Standard 1 Students will comprehend concepts related to health promotion and disease prevention. for establishing and maintaining an alcohol- and drug-free lifestyle. related knowledge expectation addressed in the curriculum.	HBO 2|HBO 3|HBO 4|HBO 8	confusion_after_use	my friend tried some vape pens at a party and got really paranoid after using it, but now he's not sure if it was just the vape or something else	My friend smoked a vape at the party and he was super jumpy and scared afterwards, but now he's not sure if it was the vape or if someone spiked it. I'm worried he'll try it again if he thinks it was just the vape.	I can see why you're worried. It's totally understandable to be concerned about what might have happened. Sometimes vapes can make people feel really jumpy or scared, and it's hard to know if that was just the vape or if something else was mixed in. It's a good idea to talk to your friend about how he's feeling and make sure he understands that it's important to be cautious. If he's worried about it, maybe you could look up some information together about what vapes can do and how they might affect someone. That way, he can make a more informed decision next time
data/raw/hecat/AOD.pdf	7	Alcohol and Other Drug-Use Prevention	AOD	1	Core Concepts	knowledge	12	9-12	1	AOD1.12.1	Differentiate between over-the-counter medications, prescription medications, and illicit drugs.	HBO 1|HBO 2|HBO 4	confusion_after_use	friend passed around a bottle of cough syrup at a party, and the teen is unsure if it's safe	My friend gave me some cough syrup at the party and now I'm not sure if it's okay to take it or if it's something else. Can you help me figure it out?	I can see why you'd want to be sure. Cough syrup can be tricky because it's sometimes prescribed by doctors and can also be bought over-the-counter. If you're not sure what kind it is, it's best to avoid taking it. Over-the-counter cough syrup usually contains ingredients like dextromethorphan, which can help with coughs, but it's not something you should just take from a friend. It's always safer to stick with medications that you or a trusted adult has taken before or that are prescribed by a doctor.
