source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	scenario_type	situation	generated_question
data/raw/hecat/MEH.pdf	7	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	25	MEH1.8.25	Explain how to build and maintain healthy family and peer relationships.	HBO 8	friendship_conflict	The teen's friend got mad at them for not sharing a meme they made	My friend got mad at me because I didn't share the meme I made, and now we haven't talked in days.
data/raw/hecat/MEH.pdf	50	Mental and Emotional Health	MEH	6	Goal Setting	skill	8	6-8	3	MEH6.8.3	Assess the barriers to achieving a goal to improve or maintain positive mental and emotional health.		anxiety	The teen feels anxious about an upcoming presentation and keeps replaying it in their head.	I keep thinking about my presentation tomorrow and it's making me feel really nervous. I can't stop thinking about what could go wrong.
data/raw/hecat/MEH.pdf	7	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	42	MEH1.8.42	Explain why it is wrong to tease or bully others based on personal characteristics.	HBO 7|HBO 8	bullying	a classmate was making fun of someone for having braces	That kid keeps making jokes about my friend's braces, but it's not funny and it's not nice.
data/raw/hecat/MEH.pdf	28	Mental and Emotional Health	MEH	3	Accessing Information	skill	12	9-12	7	MEH3.12.7	Use resources that provide valid mental and emotional health information.		social_media_stress	Teen sees classmates posting about exciting plans for the weekend while they are stuck at home.	I keep seeing all my friends posting about their fun plans for the weekend and it just makes me feel left out.
data/raw/hecat/MEH.pdf	6	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	16	MEH1.8.16	Describe how mental and emotional health can affect health behaviors.	HBO 1|HBO 2|HBO 3|HBO 4|HBO 5	anxiety	Teen experiences anxiety before big tests and projects	Every time I have a big test or project due, I get so nervous I can't even eat breakfast in the morning.
data/raw/hecat/MEH.pdf	26	Mental and Emotional Health	MEH	3	Accessing Information	skill	8	6-8	5	MEH3.8.5	Locate valid and reliable mental and emotional health services when needed or appropriate.		anxiety	The teen is feeling overwhelmed with schoolwork and extracurricular activities.	I've been stressing out so much about all my homework and trying to stay on top of soccer practice that I feel like I'm going to explode.
data/raw/hecat/MEH.pdf	28	Mental and Emotional Health	MEH	3	Accessing Information	skill	12	9-12	2	MEH3.12.2	Evaluate the validity of mental and emotional health products.		social_media_stress	Teen sees a lot of posts about quick fixes for anxiety on social media	I keep seeing these posts about apps and videos that promise to fix your anxiety in like 5 minutes, but I don't know if they actually work.
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	39	MEH1.12.39	Summarize how intolerance can affect self, others, and society.	HBO 7	social_pressure	teen feels pressured to fit in with a group that makes fun of others	I feel weird because my friends keep making jokes about other kids and I don't want to be the only one who doesn't laugh.
data/raw/hecat/MEH.pdf	6	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	10	MEH1.8.10	Describe the differences and similarities between self-efficacy, self-respect, and self-awareness.	HBO 1|HBO 2|HBO 3|HBO 4|HBO 7|HBO 8	self-esteem_struggles	Teen feels unsure about their abilities and self-worth	I keep thinking about all the times I couldn't do something and it makes me wonder if I'm really as good as my friends say I am.
data/raw/hecat/MEH.pdf	28	Mental and Emotional Health	MEH	3	Accessing Information	skill	12	9-12	3	MEH3.12.3	Evaluate the validity of mental and emotional health services.		social_media_stress	teen compares themselves to classmates online	Every time I see people posting about their projects or grades, I feel like I'm not doing enough.
data/raw/hecat/MEH.pdf	6	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	8	6-8	19	MEH1.8.19	Identify situations where people have demonstrated resilience.	HBO 1|HBO 4	resilience	friend went through a tough breakup but still found time to hang out	My friend broke up with their boyfriend last week and they've been acting like nothing happened. They still came over to play video games with me yesterday.
data/raw/hecat/MEH.pdf	10	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	23	MEH1.12.23	Summarize the benefits of talking with parents or other trusted adults about feelings.	HBO 1|HBO 2|HBO 8|HBO 9	family_conflict	teen is feeling overwhelmed by family stress and considering talking to a parent	I've been so stressed lately with my parents fighting all the time. Maybe I should talk to my mom about how I’m feeling.
data/raw/hecat/MEH.pdf	9	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	17	MEH1.12.17	Summarize characteristics of someone who demonstrates self-respect and self-control.	HBO 2|HBO 5	self-esteem_struggles	The teen has been struggling with self-doubt and feeling like they're not good enough.	I keep thinking about all the things I'm not good at and it's making me feel really bad about myself.
data/raw/hecat/MEH.pdf	66	Mental and Emotional Health	MEH	8	Advocacy	skill	8	6-8	2	MEH8.8.2	Persuade others to make positive mental and emotional health choices.		social_pressure	peer pressure to stay up late playing video games	I tried to tell my friend we should go to bed early, but they said I was boring for suggesting it. Now I'm worried I'll feel tired for school tomorrow.
data/raw/hecat/MEH.pdf	66	Mental and Emotional Health	MEH	8	Advocacy	skill	8	6-8	4	MEH8.8.4	Demonstrate how to adapt a positive mental and emotional health message for different audiences.		social_media_stress	teen feels pressure to look perfect on social media	I keep seeing all these perfect pictures on Instagram and it makes me feel like I'm not good enough.
data/raw/hecat/MEH.pdf	60	Mental and Emotional Health	MEH	7	Self-Management	skill	12	9-12	1	MEH7.12.1	Analyze the role of individual responsibility in enhancing personal mental and emotional health.		anxiety	Teen experiences physical symptoms before school	Every morning before school my stomach starts hurting and I feel sick even though nothing is actually wrong.
data/raw/hecat/MEH.pdf	28	Mental and Emotional Health	MEH	3	Accessing Information	skill	12	9-12	6	MEH3.12.6	Determine the accessibility of valid mental and emotional health services.		anxiety	teen feels overwhelmed with homework and can't find time to relax	I've been stressing out so much about my homework that I can't even find time to breathe, let alone do anything fun.
data/raw/hecat/MEH.pdf	9	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	22	MEH1.12.22	Identify a parent, caregiver, or trusted adult you can talk to about feelings and identify strategies for communicating your feelings to them. (HBO 1, 2, 4, 6, 8 & 9) ﻿Knowledge Expectations Grades 9-12 2021 HECAT: Module MEH MEH-10 Standard 1 Students will comprehend concepts related to health promotion and disease prevention. important for establishing and maintaining behaviors that promote mental and emotional health. health-related knowledge expectation addressed in the curriculum.	HBO 1|HBO 2|HBO 4|HBO 6|HBO 8|HBO 9	family_conflict	My parents have been arguing a lot lately and it's making me feel stressed.	I think I need to talk to my mom about how I’m feeling, but I’m not sure how to bring it up.
data/raw/hecat/MEH.pdf	18	Mental and Emotional Health	MEH	2	Analyzing Influences	skill	8	6-8	4	MEH2.8.4	Explain how personal values and beliefs influence mental and emotional health practices and behaviors.		self-esteem_struggles	The teen feels like they're not good enough compared to their friends	I keep thinking my friends are cooler and more popular than me, even though I know that's not true.
data/raw/hecat/MEH.pdf	9	Mental and Emotional Health	MEH	1	Core Concepts	knowledge	12	9-12	12	MEH1.12.12	Summarize personal stressors at home, in school, and with friends.	HBO 3|HBO 4	anxiety	Teen feels overwhelmed with upcoming exams and family issues	I haven't slept much all week because I keep thinking about school and my parents fighting.
