source_file	pdf_page	module	module_code	standard_number	standard_name	expectation_type	grade_code	grade_span	item_number	code	expectation	hbo_codes	generated_question
data/raw/hecat/SH.pdf	6	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	20	SH1.8.20	Explain how viewing sexually explicit pictures, messages, or media can influence perceptions of, and expectations for, relationships. (HBO 2, 4, 5, 8 & 9) ﻿Knowledge Expectations Grades 6-8 2021 HECAT: Module SH SH-7 Standard 1 Students will comprehend concepts related to health promotion and disease prevention. to promote sexual health. knowledge expectations added and addressed in the curriculum.	HBO 2|HBO 4|HBO 5|HBO 8|HBO 9	My friend showed me some pictures on his phone that had naked people in them. It made me feel weird. Should I look at more to understand what's normal?
data/raw/hecat/SH.pdf	11	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	36	SH1.12.36	Analyze techniques that are used to coerce or pressure someone to have sex.	HBO 2|HBO 3|HBO 9	My friend said if I don't send a naked pic of myself, he won't be my friend anymore. Is that okay?
data/raw/hecat/SH.pdf	38	Sexual Health	SH	4	Interpersonal Communication	skill	12	9-12	5	SH4.12.5	Demonstrate how to effectively ask for assistance from parents, caregivers, or trusted adults to improve or maintain sexual health.		My friend told me about this thing called 'hooking up' and I don't really understand it. Should I ask my mom about it?
data/raw/hecat/SH.pdf	38	Sexual Health	SH	4	Interpersonal Communication	skill	12	9-12	2	SH4.12.2	Demonstrate effective peer resistance, negotiation, and collaboration skills to avoid engaging in sexual risk behaviors.		My friend wants me to send a picture of my private parts. What should I do?
data/raw/hecat/SH.pdf	20	Sexual Health	SH	2	Analyzing Influences	skill	8	6-8	8	SH2.8.8	Analyze how school and community influence sexual relationships, practices, and behaviors.		My friend said that everyone in our school is hooking up because it's what everyone does. Is that true? Should I do it too?
data/raw/hecat/SH.pdf	22	Sexual Health	SH	2	Analyzing Influences	skill	12	9-12	7	SH2.12.7	Analyze how school and community settings influence personal sexual health beliefs, relationships, practices, and behaviors.		My friend and I were talking about how our school doesn't really teach us much about sex, but we see a lot of stuff online. It makes me confused about what's okay and what's not. What should I do?
data/raw/hecat/SH.pdf	7	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	31	SH1.8.31	Describe how a person can call attention to or leave an uncomfortable and dangerous situation, including instances of sexual violence.	HBO 8|HBO 9	My friend told me about this party where someone was trying to get really close and touch private parts. What should I do if that happens to me?
data/raw/hecat/SH.pdf	70	Sexual Health	SH	8	Advocacy	skill	12	9-12	3	SH8.12.3	Persuade and support others to make positive and healthy choices about sexual relationships, practices, and behaviors.		My friend wants to send nudes to their boyfriend. They think it'll make him like them more. Should I tell them it's a bad idea?
data/raw/hecat/SH.pdf	44	Sexual Health	SH	5	Decision-Making	skill	8	6-8	6	SH5.8.6	Predict the potential outcomes of healthy and unhealthy alternatives to a sexual health-related decision.		My friend wants me to see a porn video with him. I don't know if I should. What could happen if I say yes or no?
data/raw/hecat/SH.pdf	12	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	48	SH1.12.48	Explain why the most effective contraceptive methods (i.e., IUD or implant, shot, patch, ring, birth control pills) do not prevent STIs, including HIV.	HBO 6|HBO 7	My friend said the pill can stop me from getting STIs. Is that true? What does it actually do then?
data/raw/hecat/SH.pdf	30	Sexual Health	SH	3	Accessing Information	skill	12	9-12	5	SH3.12.5	Determine when professional sexual and reproductive healthcare services may be required.		My friend said she has a weird pain in her lower belly and thinks she might need to see a doctor. Should I tell her to go see someone?
data/raw/hecat/SH.pdf	54	Sexual Health	SH	6	Goal Setting	skill	12	9-12	4	SH6.12.4	Develop a plan to attain a personal goal to avoid or reduce the risk of pregnancy and transmission of HIV and other STIs.		My friend and I want to start dating, but we're worried about STIs and pregnancy. What should we do to stay safe?
data/raw/hecat/SH.pdf	44	Sexual Health	SH	5	Decision-Making	skill	8	6-8	2	SH5.8.2	Determine when potentially risky sexual health-related situations require a decision.		My friend wants me to see a video of someone doing private stuff. Should I watch it?
data/raw/hecat/SH.pdf	13	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	65	SH1.12.65	Explain the importance of contraceptive counseling and services if sexually active.	HBO 6|HBO 10	My friend and I are thinking about being more serious, and we want to make sure we're safe. Can you tell me more about how to get birth control and what kinds there are?
data/raw/hecat/SH.pdf	6	Sexual Health	SH	1	Core Concepts	knowledge	8	6-8	19	SH1.8.19	Explain the negative consequences of sending sexually explicit pictures, messages, or media (e.g., texting, chat groups, social media platforms, e-mail, websites, phone or tablet applications).	HBO 2|HBO 3|HBO 4|HBO 5|HBO 9	My friend wants me to send a picture of my private parts to someone online. Should I do it?
data/raw/hecat/SH.pdf	22	Sexual Health	SH	2	Analyzing Influences	skill	12	9-12	8	SH2.12.8	Analyze how media (e.g., pornography, sexually explicit images, social media) and technology influence personal, family, and community sexual health beliefs, relationships, practices, and behaviors.		My friend showed me some porn online and said it's normal to watch it. Is that true? Should I tell my parents?
data/raw/hecat/SH.pdf	12	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	41	SH1.12.41	Analyze the factors that protect one against engaging in sexual risk behaviors.	HBO 2|HBO 4|HBO 5|HBO 6|HBO 7|HBO 10	My friend wants me to try this new thing called 'hooking up' but I don't really want to. How can I say no without hurting his feelings?
data/raw/hecat/SH.pdf	12	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	44	SH1.12.44	Summarize the signs and symptoms of the most common STIs, including HIV.	HBO 6	My friend said they have a rash on their penis and some weird sores. Should I tell them to go see a doctor?
data/raw/hecat/SH.pdf	11	Sexual Health	SH	1	Core Concepts	knowledge	12	9-12	24	SH1.12.24	Summarize the benefits of respecting individual differences in gender and sexuality (e.g., gender identity and expression, sexual orientation, or sexual abstinence and activity), growth and development, or physical appearance or ability.	HBO 2|HBO 3	My friend told me they're not sure if they're a boy or a girl and they don't want to be called by any gender. How should I respect that?
